GenesSet	SDY	Rsq
G	SDY270_PBMC_TIVGroup	0.493718085
G	SDY296_WholeBlood_AIRFV	0.594595745
G	SDY301_Other_AIRFV	0.548510638
G	SDY305_Other_TIV	0.496244681
G	SDY311_GroupA	0.558265957
G	SDY311_GroupB	0.577361702
G	SDY311_GroupC	0.424414894
G	SDY312_Other_GroupA	0.610867021
G	SDY312_Other_GroupB	0.66906383
G	SDY312_Other_GroupC	0.696404255
G	SDY315_Other_GroupA	0.602170213
G	SDY315_Other_GroupB	0.569728723
G	SDY315_Other_GroupC	0.602170213
G	SDY364_WholeBlood_NCH2012	0.451909574
G	SDY368_WholeBlood_NCH2013	0.390930851
G	SDY372_WholeBlood_JDM2012	0.353468085
G	SDY387_WholeBlood_NCH2010	0.492553191
G	SDY400_PBMC_Older	0.77812766
G	SDY400_PBMC_Young	0.390930851
G	SDY404_PBMC_Older	0.445382979
G	SDY404_PBMC_Young	0.614654255
G	SDY520_WholeBlood_Older	0.502585106
G	SDY520_WholeBlood_Young	0.584792553
G	SDY56_PBMC_Older	0.539329787
G	SDY56_PBMC_Young	0.574095745
G	SDY63_PBMC_Young	0.446787234
G	SDY67_PBMC_HealthyAdults	0.404069149
G	SDY739_old	0.571601064
G	SDY739_young	0.524553191
G	SDY80_PBMC_Cohort2	0.384340426
H	GSE107990	0.674808511
H	SDY1119_PBMC_oldHealthy	0.719617021
H	SDY1119_PBMC_youngHealthy	0.753319149
H	SDY1119_PBMC_youngT2D	0.700553191
H	SDY112_Other_GroupA	0.55406383
H	SDY112_Other_GroupB	0.665212766
H	SDY112_Other_GroupC	0.619882979
H	SDY113_Other_IDTIV	0.70137766
H	SDY113_Other_TIV	0.561021277
H	SDY1276_WholeBlood_Discovery	0.693021277
H	SDY1276_WholeBlood_Validation	0.716930851
H	SDY144_Other_TIV	0.749957447
H	SDY212_PBMC_Older	0.721521277
H	SDY212_PBMC_Young	0.63087766
H	SDY212_WholeBlood_Older	0.782021277
H	SDY212_WholeBlood_Young	0.671276596
H	SDY269_PBMC_TIV	0.654255319
H	SDY270_PBMC_TIVGroup	0.712441489
H	SDY296_WholeBlood_AIRFV	0.678553191
H	SDY301_Other_AIRFV	0.693021277
H	SDY305_Other_TIV	0.491430851
H	SDY311_GroupA	0.732510638
H	SDY311_GroupB	0.70993617
H	SDY311_GroupC	0.646696809
H	SDY312_Other_GroupA	0.735297872
H	SDY312_Other_GroupB	0.667207447
H	SDY312_Other_GroupC	0.643132979
H	SDY315_Other_GroupA	0.538138298
H	SDY315_Other_GroupB	0.510042553
H	SDY315_Other_GroupC	0.506914894
H	SDY364_WholeBlood_NCH2012	0.71912766
H	SDY368_WholeBlood_NCH2013	0.66393617
H	SDY372_WholeBlood_JDM2012	0.730191489
H	SDY387_WholeBlood_NCH2010	0.657478723
H	SDY400_PBMC_Older	0.557893617
H	SDY400_PBMC_Young	0.588893617
H	SDY404_PBMC_Older	0.571904255
H	SDY404_PBMC_Young	0.715840426
H	SDY520_WholeBlood_Older	0.612765957
H	SDY520_WholeBlood_Young	0.771468085
H	SDY56_PBMC_Older	0.749297872
H	SDY56_PBMC_Young	0.640526596
H	SDY63_PBMC_Young	0.749957447
H	SDY67_PBMC_HealthyAdults	0.662723404
H	SDY739_old	0.533234043
H	SDY739_young	0.580180851
H	SDY80_PBMC_Cohort2	0.683734043
I	GSE107990	0.716356383
I	SDY1119_PBMC_oldHealthy	0.865723404
I	SDY1119_PBMC_youngHealthy	0.747829787
I	SDY1119_PBMC_youngT2D	0.734457447
I	SDY112_Other_GroupA	0.760574468
I	SDY112_Other_GroupB	0.759170213
I	SDY112_Other_GroupC	0.803851064
I	SDY113_Other_IDTIV	0.802351064
I	SDY113_Other_TIV	0.771957447
I	SDY1276_WholeBlood_Discovery	0.785595745
I	SDY1276_WholeBlood_Validation	0.785808511
I	SDY144_Other_TIV	0.824638298
I	SDY212_PBMC_Older	0.854702128
I	SDY212_PBMC_Young	0.709425532
I	SDY212_WholeBlood_Older	0.749297872
I	SDY212_WholeBlood_Young	0.796074468
I	SDY269_PBMC_TIV	0.791212766
I	SDY270_PBMC_TIVGroup	0.814819149
I	SDY296_WholeBlood_AIRFV	0.804212766
I	SDY301_Other_AIRFV	0.75412234
I	SDY305_Other_TIV	0.61337234
I	SDY311_GroupA	0.793468085
I	SDY311_GroupB	0.694180851
I	SDY311_GroupC	0.707095745
I	SDY312_Other_GroupA	0.751212766
I	SDY312_Other_GroupB	0.780478723
I	SDY312_Other_GroupC	0.783297872
I	SDY315_Other_GroupA	0.802010638
I	SDY315_Other_GroupB	0.714404255
I	SDY315_Other_GroupC	0.780702128
I	SDY364_WholeBlood_NCH2012	0.853234043
I	SDY368_WholeBlood_NCH2013	0.798223404
I	SDY372_WholeBlood_JDM2012	0.673319149
I	SDY387_WholeBlood_NCH2010	0.827510638
I	SDY400_PBMC_Older	0.871829787
I	SDY400_PBMC_Young	0.704638298
I	SDY404_PBMC_Older	0.80506383
I	SDY404_PBMC_Young	0.775404255
I	SDY520_WholeBlood_Older	0.725606383
